number,value,datetime_start,datetime_complete,duration,params_grad_refinement_pct,params_init_pack_size,params_max_iterations,params_n_packs,params_surrogate_enabled,params_use_gradient,state
0,0.005327703140036277,2026-01-13 10:39:53.480490,2026-01-13 10:39:53.607968,0 days 00:00:00.127478,0.12299264841588119,15,260,6,False,True,COMPLETE
1,0.010737965065494848,2026-01-13 10:39:53.608889,2026-01-13 10:39:53.680425,0 days 00:00:00.071536,0.19024240559054978,10,305,3,True,False,COMPLETE
2,0.008216887697113151,2026-01-13 10:39:53.681304,2026-01-13 10:39:53.711031,0 days 00:00:00.029727,0.2353534392410661,14,299,3,False,True,COMPLETE
3,0.02692175720160961,2026-01-13 10:39:53.711676,2026-01-13 10:39:53.753968,0 days 00:00:00.042292,0.06337499436409932,8,385,5,True,False,COMPLETE
4,0.0001991471921662935,2026-01-13 10:39:53.754673,2026-01-13 10:39:53.885270,0 days 00:00:00.130597,0.12732700495714294,18,252,6,True,False,COMPLETE
5,0.0458791671669303,2026-01-13 10:39:53.885946,2026-01-13 10:39:54.000011,0 days 00:00:00.114065,0.14008233116564145,18,345,4,True,False,COMPLETE
6,0.23801742967728146,2026-01-13 10:39:54.000844,2026-01-13 10:39:54.036616,0 days 00:00:00.035772,0.24777458999147822,17,301,2,True,True,COMPLETE
7,0.027409116570687786,2026-01-13 10:39:54.037276,2026-01-13 10:39:54.082430,0 days 00:00:00.045154,0.24368953627331097,8,241,6,False,True,COMPLETE
8,0.019871592365404922,2026-01-13 10:39:54.083025,2026-01-13 10:39:54.131522,0 days 00:00:00.048497,0.1263532506962957,10,270,5,False,True,COMPLETE
