number,value,datetime_start,datetime_complete,duration,params_c1,params_c2,params_n_particles,params_w,state
0,830.0752243943572,2026-01-13 10:40:38.387129,2026-01-13 10:40:38.443448,0 days 00:00:00.056319,0.6172482308711797,0.7143424500980614,31,0.6534772585252695,COMPLETE
1,830.0751967494313,2026-01-13 10:40:38.444681,2026-01-13 10:40:38.525815,0 days 00:00:00.081134,1.4075285888883362,1.0089552008667702,55,0.6299594754553444,COMPLETE
2,835.7641621733093,2026-01-13 10:40:38.527361,2026-01-13 10:40:38.618060,0 days 00:00:00.090699,1.6745160223667217,1.1941576768046218,59,0.223868549200557,COMPLETE
3,835.7447107044666,2026-01-13 10:40:38.619524,2026-01-13 10:40:38.770534,0 days 00:00:00.151010,1.2263926647862347,0.6066959157720727,52,0.5179209900654396,COMPLETE
4,830.0751967494313,2026-01-13 10:40:38.771979,2026-01-13 10:40:38.816037,0 days 00:00:00.044058,1.3614832580640288,1.573861381913153,23,0.5633709475448181,COMPLETE
5,-855742.8365324073,2026-01-13 10:40:38.818014,2026-01-13 10:40:38.850292,0 days 00:00:00.032278,0.5849530389731599,1.9851599538264284,13,0.866932195531068,COMPLETE
6,830.0751967494313,2026-01-13 10:40:38.851572,2026-01-13 10:40:38.910221,0 days 00:00:00.058649,1.0357082740949126,1.5413011833006816,32,0.6966650846164337,COMPLETE
7,836.7676911525954,2026-01-13 10:40:38.911696,2026-01-13 10:40:38.962789,0 days 00:00:00.051093,1.8713103521011791,1.3397142393493129,28,0.22803138348383886,COMPLETE
8,835.7430891338576,2026-01-13 10:40:38.964511,2026-01-13 10:40:39.006431,0 days 00:00:00.041920,1.7610535419948927,0.7709790638157952,20,0.46623239690551554,COMPLETE
9,830.0751967494313,2026-01-13 10:40:39.007889,2026-01-13 10:40:39.096940,0 days 00:00:00.089051,0.6465647759383149,1.3216603351862382,60,0.5956892371676548,COMPLETE
